instance,n,known_opt,heuristic,rep,seed,init_semi,init_feas,final_semi,final_feas,gap_pct,t_best_feas,t_best_semi,wall_s,conv_itr
airland5,20,3100.0,ERD,5,110,6470.0,6470.0,3100.0,3100.0,0.0,2.2436,2.2428,11.7166,43
airland5,20,3100.0,MDD,1,42,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.4178,0
airland5,20,3100.0,MDD,2,59,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.4248,0
airland5,20,3100.0,MDD,3,76,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.4281,0
airland5,20,3100.0,MDD,4,93,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.4387,0
airland5,20,3100.0,MDD,5,110,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.4381,0
airland5,20,3100.0,MPDS,1,42,9270.0,9270.0,3100.0,3100.0,0.0,2.08,2.0791,11.5621,39
airland5,20,3100.0,MPDS,2,59,9270.0,9270.0,3100.0,3100.0,0.0,2.0788,2.078,11.5585,39
airland5,20,3100.0,MPDS,3,76,9270.0,9270.0,3100.0,3100.0,0.0,2.6216,2.6208,12.0886,49
airland5,20,3100.0,MPDS,4,93,9270.0,9270.0,3100.0,3100.0,0.0,2.6848,2.6839,12.1667,51
airland5,20,3100.0,MPDS,5,110,9270.0,9270.0,3100.0,3100.0,0.0,2.1982,2.1974,11.6677,42
airland5,20,3100.0,ATC_k2,1,42,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.417,0
airland5,20,3100.0,ATC_k2,2,59,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.4129,0
airland5,20,3100.0,ATC_k2,3,76,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.415,0
airland5,20,3100.0,ATC_k2,4,93,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.4222,0
airland5,20,3100.0,ATC_k2,5,110,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.3873,0
airland5,20,3100.0,ATC_k4,1,42,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.402,0
airland5,20,3100.0,ATC_k4,2,59,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.4143,0
airland5,20,3100.0,ATC_k4,3,76,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.3959,0
airland5,20,3100.0,ATC_k4,4,93,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.4145,0
airland5,20,3100.0,ATC_k4,5,110,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,9.4226,0
airland6,30,24442.0,EDD,1,42,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0931,0
airland6,30,24442.0,EDD,2,59,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0955,0
