instance,n,known_opt,combo_id,combo_label,coded_alpha,coded_Ni,coded_Imax,coded_Mstag,alpha,N_iter,I_max,M_stag,rep,seed,final_semi,final_feas,gap_pct,t_best_feas,wall_s
airland4,20,2520.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,2,55,2520.0,2520.0,0.0,0.0,9.1507
airland4,20,2520.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,1,42,2520.0,2520.0,0.0,0.0,6.2513
airland4,20,2520.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,2,55,2520.0,2520.0,0.0,0.0,6.2474
airland4,20,2520.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,1,42,2520.0,2520.0,0.0,0.0,32.254
airland4,20,2520.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,2,55,2520.0,2520.0,0.0,0.0,36.4291
airland4,20,2520.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,1,42,2520.0,2520.0,0.0,0.0,31.8992
airland4,20,2520.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,2,55,2520.0,2520.0,0.0,0.0,19.8715
airland4,20,2520.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,1,42,2520.0,2520.0,0.0,0.0,45.7021
airland4,20,2520.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,2,55,2520.0,2520.0,0.0,0.0,43.1722
airland4,20,2520.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,1,42,2520.0,2520.0,0.0,0.0,31.8774
airland4,20,2520.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,2,55,2520.0,2520.0,0.0,0.0,31.8488
airland4,20,2520.0,7,a-Ni+Im+Ms+,-1,1,1,1,0.95,400,1200,180,1,42,2520.0,2520.0,0.0,0.0,59.9092
airland4,20,2520.0,7,a-Ni+Im+Ms+,-1,1,1,1,0.95,400,1200,180,2,55,2520.0,2520.0,0.0,0.0,59.9462
airland4,20,2520.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,1,42,2520.0,2520.0,0.0,0.0,6.7616
